M10-R OUTPUTSPACE TRANSFER3D

=== CA9 CM CONFIG_FILL CORE 0x420A4AAC..0x420A5920 ===
420a4aac: push       {r0, lr}
420a4ff2: blx        #0x421e6614 ; CALL=0x421e6614
420a4ff6: movs       r2, #0
420a4ff8: movs       r3, #0x81
420a4ffa: lsls       r3, r3, #0x17
420a4ffc: str        r1, [sp, #0xc]
420a4ffe: str        r0, [sp, #8]
420a5000: blx        #0x421e61d0 ; CALL=0x421e61d0
420a5004: str        r1, [sp, #0x1c]
420a5006: str        r0, [sp, #0x18]
420a5008: ldr        r0, [sp, #0x194]
420a500a: str        r0, [sp, #4]
420a500c: blx        #0x421e6614 ; CALL=0x421e6614
420a5010: movs       r2, #0
420a5012: movs       r3, #0x81
420a5014: lsls       r3, r3, #0x17
420a5016: str        r1, [sp, #0xc]
420a5018: str        r0, [sp, #8]
420a501a: blx        #0x421e61d0 ; CALL=0x421e61d0
420a501e: str        r1, [sp, #0x14]
420a5020: str        r0, [sp, #0x10]
420a5022: ldr        r1, [sp, #0x24]
420a5024: ldr        r0, [sp, #0x20]
420a5026: str        r1, [sp, #0xc]
420a5028: str        r0, [sp, #8]
420a502a: ldr        r1, [sp, #0x1c]
420a502c: ldr        r0, [sp, #0x18]
420a502e: str        r1, [sp, #4]
420a5030: str        r0, [sp]
420a5032: adr        r1, #0x204
420a5034: movs       r0, #2
420a5036: ldr        r3, [sp, #0x14]
420a5038: ldr        r2, [sp, #0x10]
420a503a: bl         #0x42140150 ; CALL=0x42140150
420a503e: ldr        r0, [sp, #0x1a8]
420a5040: str        r0, [sp, #4]
420a5042: blx        #0x421e6614 ; CALL=0x421e6614
420a5046: movs       r2, #0
420a5048: movs       r3, #0x81
420a504a: lsls       r3, r3, #0x17
420a504c: str        r1, [sp, #0xc]
420a504e: str        r0, [sp, #8]
420a5050: blx        #0x421e61d0 ; CALL=0x421e61d0
420a5054: str        r1, [sp, #0x24]
420a5056: str        r0, [sp, #0x20]
420a5058: ldr        r0, [sp, #0x1a4]
420a505a: str        r0, [sp, #4]
420a505c: blx        #0x421e6614 ; CALL=0x421e6614
420a5060: movs       r2, #0
420a5062: movs       r3, #0x81
420a5064: lsls       r3, r3, #0x17
420a5066: str        r1, [sp, #0xc]
420a5068: str        r0, [sp, #8]
420a506a: blx        #0x421e61d0 ; CALL=0x421e61d0
420a506e: str        r1, [sp, #0x1c]
420a5070: str        r0, [sp, #0x18]
420a5072: ldr        r0, [sp, #0x1a0]
420a5074: str        r0, [sp, #4]
420a5076: blx        #0x421e6614 ; CALL=0x421e6614
420a507a: movs       r2, #0
420a507c: movs       r3, #0x81
420a507e: lsls       r3, r3, #0x17
420a5080: str        r1, [sp, #0xc]
420a5082: str        r0, [sp, #8]
420a5084: blx        #0x421e61d0 ; CALL=0x421e61d0
420a5088: str        r1, [sp, #0x14]
420a508a: str        r0, [sp, #0x10]
420a508c: ldr        r1, [sp, #0x24]
420a508e: ldr        r0, [sp, #0x20]
420a5090: str        r1, [sp, #0xc]
420a5092: str        r0, [sp, #8]
420a5094: ldr        r1, [sp, #0x1c]
420a5096: ldr        r0, [sp, #0x18]
420a5098: str        r1, [sp, #4]
420a509a: str        r0, [sp]
420a509c: adr        r1, #0x198
420a509e: movs       r0, #2
420a50a0: ldr        r3, [sp, #0x14]
420a50a2: ldr        r2, [sp, #0x10]
420a50a4: bl         #0x42140150 ; CALL=0x42140150
420a50a8: b          #0x420a5838
420a50aa: movs       r1, #0
420a50ac: ldr        r0, [sp, #0x1b8]
420a50ae: str        r1, [r0, #0x24]
420a50b0: ldr        r1, [pc, #0x200] ; LIT 0x420a52b4->0x1388
420a50b2: ldr        r0, [sp, #0x1b8]
420a50b4: str        r1, [r0, #0x28]
420a50b6: ldr        r0, [sp, #0x1b8]
420a50b8: ldrh       r0, [r0, #0x24]
420a50ba: movs       r1, #9
420a50bc: subs       r1, r1, r0
420a50be: movs       r0, #1
420a50c0: lsls       r0, r1
420a50c2: str        r0, [sp, #0x24]
420a50c4: blx        #0x421e6614 ; CALL=0x421e6614
420a50c8: str        r1, [sp, #0x12c]
420a50ca: str        r0, [sp, #0x128]
420a50cc: ldr        r2, [pc, #0x1e8] ; LIT 0x420a52b8->0x6cab474c
420a50ce: ldr        r3, [pc, #0x1ec] ; LIT 0x420a52bc->0x3fe5fa30
420a50d0: ldr        r1, [sp, #0x12c]
420a50d2: ldr        r0, [sp, #0x128]
420a50d4: blx        #0x421e67a0 ; CALL=0x421e67a0
420a50d8: str        r1, [sp, #0x1c]
420a50da: str        r0, [sp, #0x18]
420a50dc: blx        #0x421a0a44 ; CALL=0x421a0a44
420a50e0: str        r1, [sp, #0x24]
420a50e2: str        r0, [sp, #0x20]
420a50e4: blx        #0x421e6534 ; CALL=0x421e6534
420a50e8: ldr        r1, [sp, #0x1b8]
420a50ea: str        r0, [r1]
420a50ec: ldr        r2, [pc, #0x1d0] ; LIT 0x420a52c0->0xd469965
420a50ee: ldr        r3, [pc, #0x1d4] ; LIT 0x420a52c4->0xbfc54ea1
420a50f0: ldr        r1, [sp, #0x12c]
420a50f2: ldr        r0, [sp, #0x128]
420a50f4: blx        #0x421e67a0 ; CALL=0x421e67a0
420a50f8: str        r1, [sp, #0x1c]
420a50fa: str        r0, [sp, #0x18]
420a50fc: blx        #0x421a0a44 ; CALL=0x421a0a44
420a5100: str        r1, [sp, #0x24]
420a5102: str        r0, [sp, #0x20]
420a5104: blx        #0x421e6534 ; CALL=0x421e6534
420a5108: ldr        r1, [sp, #0x1b8]
420a510a: str        r0, [r1, #4]
420a510c: ldr        r2, [pc, #0x1b8] ; LIT 0x420a52c8->0x1c3f5c42
420a510e: ldr        r3, [pc, #0x1bc] ; LIT 0x420a52cc->0xbfaaa1f2
420a5110: ldr        r1, [sp, #0x12c]
420a5112: ldr        r0, [sp, #0x128]
420a5114: blx        #0x421e67a0 ; CALL=0x421e67a0
420a5118: str        r1, [sp, #0x1c]
420a511a: str        r0, [sp, #0x18]
420a511c: blx        #0x421a0a44 ; CALL=0x421a0a44
420a5120: str        r1, [sp, #0x24]
420a5122: str        r0, [sp, #0x20]
420a5124: blx        #0x421e6534 ; CALL=0x421e6534
420a5128: ldr        r1, [sp, #0x1b8]
420a512a: str        r0, [r1, #8]
420a512c: ldr        r2, [pc, #0x1a0] ; LIT 0x420a52d0->0x38386329
420a512e: ldr        r3, [pc, #0x1a4] ; LIT 0x420a52d4->0xbfdaf082
420a5130: ldr        r1, [sp, #0x12c]
420a5132: ldr        r0, [sp, #0x128]
420a5134: blx        #0x421e67a0 ; CALL=0x421e67a0
420a5138: str        r1, [sp, #0x1c]
420a513a: str        r0, [sp, #0x18]
420a513c: blx        #0x421a0a44 ; CALL=0x421a0a44
420a5140: str        r1, [sp, #0x24]
420a5142: str        r0, [sp, #0x20]
420a5144: blx        #0x421e6534 ; CALL=0x421e6534
420a5148: ldr        r1, [sp, #0x1b8]
420a514a: str        r0, [r1, #0xc]
420a514c: ldr        r2, [pc, #0x188] ; LIT 0x420a52d8->0x2614e335
420a514e: ldr        r3, [pc, #0x18c] ; LIT 0x420a52dc->0x3ff539c2
420a5150: ldr        r1, [sp, #0x12c]
420a5152: ldr        r0, [sp, #0x128]
420a5154: blx        #0x421e67a0 ; CALL=0x421e67a0
420a5158: str        r1, [sp, #0x1c]
420a515a: str        r0, [sp, #0x18]
420a515c: blx        #0x421a0a44 ; CALL=0x421a0a44
420a5160: str        r1, [sp, #0x24]
420a5162: str        r0, [sp, #0x20]
420a5164: blx        #0x421e6534 ; CALL=0x421e6534
420a5168: ldr        r1, [sp, #0x1b8]
420a516a: str        r0, [r1, #0x10]
420a516c: ldr        r2, [pc, #0x170] ; LIT 0x420a52e0->0x6efb40bc
420a516e: ldr        r3, [pc, #0x174] ; LIT 0x420a52e4->0x3fb89458
420a5170: ldr        r1, [sp, #0x12c]
420a5172: ldr        r0, [sp, #0x128]
420a5174: blx        #0x421e67a0 ; CALL=0x421e67a0
420a5178: str        r1, [sp, #0x1c]
420a517a: str        r0, [sp, #0x18]
420a517c: blx        #0x421a0a44 ; CALL=0x421a0a44
420a5180: str        r1, [sp, #0x24]
420a5182: str        r0, [sp, #0x20]
420a5184: blx        #0x421e6534 ; CALL=0x421e6534
420a5188: ldr        r1, [sp, #0x1b8]
420a518a: str        r0, [r1, #0x14]
420a518c: ldr        r2, [pc, #0x158] ; LIT 0x420a52e8->0x8a53ba4a
420a518e: ldr        r3, [pc, #0x15c] ; LIT 0x420a52ec->0xbfb369ca
420a5190: ldr        r1, [sp, #0x12c]
420a5192: ldr        r0, [sp, #0x128]
420a5194: blx        #0x421e67a0 ; CALL=0x421e67a0
420a5198: str        r1, [sp, #0x1c]
420a519a: str        r0, [sp, #0x18]
420a519c: blx        #0x421a0a44 ; CALL=0x421a0a44
420a51a0: str        r1, [sp, #0x24]
420a51a2: str        r0, [sp, #0x20]
420a51a4: blx        #0x421e6534 ; CALL=0x421e6534
420a51a8: ldr        r1, [sp, #0x1b8]
420a51aa: str        r0, [r1, #0x18]
420a51ac: ldr        r2, [pc, #0x140] ; LIT 0x420a52f0->0x8422263
420a51ae: ldr        r3, [pc, #0x144] ; LIT 0x420a52f4->0x3fcc7b8e
420a51b0: ldr        r1, [sp, #0x12c]
420a51b2: ldr        r0, [sp, #0x128]
420a51b4: blx        #0x421e67a0 ; CALL=0x421e67a0
420a51b8: str        r1, [sp, #0x1c]
420a51ba: str        r0, [sp, #0x18]
420a51bc: blx        #0x421a0a44 ; CALL=0x421a0a44
420a51c0: str        r1, [sp, #0x24]
420a51c2: str        r0, [sp, #0x20]
420a51c4: blx        #0x421e6534 ; CALL=0x421e6534
420a51c8: ldr        r1, [sp, #0x1b8]
420a51ca: str        r0, [r1, #0x1c]
420a51cc: ldr        r2, [pc, #0x128] ; LIT 0x420a52f8->0xb4ae2191
420a51ce: ldr        r3, [pc, #0x12c] ; LIT 0x420a52fc->0x3fe76589
420a51d0: ldr        r1, [sp, #0x12c]
420a51d2: ldr        r0, [sp, #0x128]
420a51d4: blx        #0x421e67a0 ; CALL=0x421e67a0
420a51d8: str        r1, [sp, #0x1c]
420a51da: str        r0, [sp, #0x18]
420a51dc: blx        #0x421a0a44 ; CALL=0x421a0a44
420a51e0: str        r1, [sp, #0x24]
420a51e2: str        r0, [sp, #0x20]
420a51e4: blx        #0x421e6534 ; CALL=0x421e6534
420a51e8: movs       r1, r0
420a51ea: b          #0x420a5300
420a51ec: ldr        r4, [sp, #0x244]
420a51ee: tst        r6, r3
420a51f0: adcs       r3, r0
420a51f2: subs       r2, #0x39
420a51f4: movs       r5, #0x20
420a51f6: cmp        r0, #0x73
420a51f8: movs       r0, #0x29
420a51fa: movs       r0, #0x2d
420a51fc: ldr        r2, [r4, #0x14]
420a51fe: mov        r6, sp
420a5200: ldr        r1, [r5, #0x44]
420a5202: add        r5, ip
420a5204: strb       r1, [r4, #0x11]
420a5206: subs       r2, #0x61
420a5208: movs       r0, r0
420a520a: movs       r0, r0
420a520c: adcs       r3, r0
420a520e: subs       r2, #0x39
420a5210: ldr        r5, [pc, #0x80] ; LIT 0x420a5294->0x6d696365
420a5212: strb       r1, [r4, #0x11]
420a5214: ldr        r2, [r6, #0x14]
420a5216: ldrsh      r0, [r7, r5]
420a5218: strb       r4, [r1, r1]
420a521a: strh       r0, [r4, r0]
420a521c: strb       r7, [r5, #0x15]
420a521e: str        r6, [r5, #0x44]
420a5220: strb       r5, [r2, #1]
420a5222: ldr        r2, [r0, #0x14]
420a5224: strb       r4, [r6, #0xd]
420a5226: movs       r0, #0x3a
420a5228: ldr        r5, [r4, #0x10]
420a522a: movs       r0, #0x20
420a522c: str        r4, [r2, #0x54]
420a522e: strb       r5, [r5, #1]
420a5230: movs       r5, #0x3a
420a5232: ldr        r3, [pc, #0x1a4] ; LIT 0x420a53d8->0xf1419008
420a5234: movs       r0, r0
420a5236: movs       r0, r0
420a5238: adcs       r3, r0
420a523a: subs       r2, #0x39
420a523c: ldrh       r0, [r4, r4]
420a523e: adds       r1, #0x25
420a5240: cmp        r6, #0x31
420a5242: str        r0, [r7, #0x60]
420a5244: movs       r0, #0x5d
420a5246: movs       r5, #0x5b
420a5248: adds       r1, #0x31
420a524a: subs       r0, #0x2e
420a524c: ldrb       r6, [r4, r5]
420a524e: ldrh       r0, [r4, r4]
420a5250: adds       r1, #0x25
420a5252: cmp        r6, #0x31
420a5254: str        r0, [r7, #0x60]
420a5256: lsls       r5, r3, #1
420a5258: adcs       r3, r0
420a525a: subs       r2, #0x39
420a525c: ldr        r5, [pc, #0x80] ; LIT 0x420a52e0->0x6efb40bc
420a525e: strb       r1, [r4, #0x11]
420a5260: ldr        r2, [r6, #0x14]
420a5262: ldrsh      r0, [r7, r5]
420a5264: strb       r0, [r1, r1]
420a5266: strh       r0, [r4, r0]
420a5268: strb       r7, [r5, #0x15]
420a526a: str        r6, [r5, #0x44]
420a526c: strb       r5, [r2, #1]
420a526e: ldr        r2, [r0, #0x14]
420a5270: strb       r4, [r6, #0xd]
420a5272: movs       r0, #0x3a
420a5274: ldr        r5, [r4, #0x10]
420a5276: movs       r0, #0x20
420a5278: str        r4, [r2, #0x54]
420a527a: strb       r5, [r5, #1]
420a527c: movs       r5, #0x3a
420a527e: ldr        r3, [pc, #0x1a4] ; LIT 0x420a5424->0x69cb3198
420a5280: movs       r0, r0
420a5282: movs       r0, r0
420a5284: adcs       r3, r0
420a5286: subs       r2, #0x39
420a5288: ldr        r5, [pc, #0x80] ; LIT 0x420a530c->0x4afd6381
420a528a: strb       r1, [r4, #0x11]
420a528c: ldr        r2, [r6, #0x14]
420a528e: ldrsh      r0, [r7, r5]
420a5290: strb       r4, [r0, r1]
420a5292: add        r0, r4
420a5294: str        r5, [r4, #0x34]
420a5296: ldr        r1, [r5, #0x54]
420a5298: ldr        r1, [r4, #0x44]
420a529a: ldr        r0, [r2, #0x74]
420a529c: ldr        r1, [r5, #0x64]
420a529e: str        r4, [r6, r1]
420a52a0: strb       r7, [r5, #0xd]
420a52a2: movs       r0, #0x3a
420a52a4: ldr        r5, [r4, #0x10]
420a52a6: movs       r0, #0x20
420a52a8: str        r4, [r2, #0x54]
420a52aa: strb       r5, [r5, #1]
420a52ac: movs       r5, #0x3a
420a52ae: ldr        r3, [pc, #0x1a4] ; LIT 0x420a5454->0x6a433098
420a52b0: movs       r0, r0
420a52b2: movs       r0, r0
420a52b4: asrs       r0, r1, #0xe
420a52b6: movs       r0, r0
420a52b8: bxns       sb
420a52ba: ldr        r3, [r5, #0x48]

=== WRITES TO CONFIG OBJECT VIA [sp,#0x1B8] ===

BASEFETCH 420a4aca: ldr        r0, [sp, #0x1b8]
420a4aca: ldr        r0, [sp, #0x1b8]
420a4acc: str        r1, [r0, #0x2c]
420a4ace: ldr        r0, [sp, #0x1b8]
420a4ad0: ldrh       r0, [r0, #0x2c]
420a4ad2: movs       r1, #9
420a4ad4: subs       r1, r1, r0
420a4ad6: movs       r0, #1
420a4ad8: lsls       r0, r1

BASEFETCH 420a4ace: ldr        r0, [sp, #0x1b8]
420a4ace: ldr        r0, [sp, #0x1b8]
420a4ad0: ldrh       r0, [r0, #0x2c]
420a4ad2: movs       r1, #9
420a4ad4: subs       r1, r1, r0
420a4ad6: movs       r0, #1
420a4ad8: lsls       r0, r1
420a4ada: str        r0, [sp, #0x24]
420a4adc: blx        #0x421e6614 ; CALL=0x421e6614

BASEFETCH 420a4ae0: ldr        r2, [sp, #0x1b8]
420a4ae0: ldr        r2, [sp, #0x1b8]
420a4ae2: str        r1, [r2, #0x34]
420a4ae4: str        r0, [r2, #0x30]
420a4ae6: add        r0, sp, #0x130
420a4ae8: bl         #0x420a4628 ; CALL=0x420a4628
420a4aec: str        r0, [sp, #0x1b4]
420a4aee: ldr        r0, [sp, #0x1b4]
420a4af0: cmp        r0, #0

BASEFETCH 420a4af6: ldr        r0, [sp, #0x1b8]
420a4af6: ldr        r0, [sp, #0x1b8]
420a4af8: str        r1, [r0]
420a4afa: ldr        r1, [sp, #0x18c]
420a4afc: ldr        r0, [sp, #0x1b8]
420a4afe: str        r1, [r0, #4]
420a4b00: ldr        r1, [sp, #0x190]
420a4b02: ldr        r0, [sp, #0x1b8]
420a4b04: str        r1, [r0, #8]

BASEFETCH 420a4afc: ldr        r0, [sp, #0x1b8]
420a4afc: ldr        r0, [sp, #0x1b8]
420a4afe: str        r1, [r0, #4]
420a4b00: ldr        r1, [sp, #0x190]
420a4b02: ldr        r0, [sp, #0x1b8]
420a4b04: str        r1, [r0, #8]
420a4b06: ldr        r1, [sp, #0x194]
420a4b08: ldr        r0, [sp, #0x1b8]
420a4b0a: str        r1, [r0, #0xc]

BASEFETCH 420a4b02: ldr        r0, [sp, #0x1b8]
420a4b02: ldr        r0, [sp, #0x1b8]
420a4b04: str        r1, [r0, #8]
420a4b06: ldr        r1, [sp, #0x194]
420a4b08: ldr        r0, [sp, #0x1b8]
420a4b0a: str        r1, [r0, #0xc]
420a4b0c: ldr        r1, [sp, #0x198]
420a4b0e: ldr        r0, [sp, #0x1b8]
420a4b10: str        r1, [r0, #0x10]

BASEFETCH 420a4b08: ldr        r0, [sp, #0x1b8]
420a4b08: ldr        r0, [sp, #0x1b8]
420a4b0a: str        r1, [r0, #0xc]
420a4b0c: ldr        r1, [sp, #0x198]
420a4b0e: ldr        r0, [sp, #0x1b8]
420a4b10: str        r1, [r0, #0x10]
420a4b12: ldr        r1, [sp, #0x19c]
420a4b14: ldr        r0, [sp, #0x1b8]
420a4b16: str        r1, [r0, #0x14]

BASEFETCH 420a4b0e: ldr        r0, [sp, #0x1b8]
420a4b0e: ldr        r0, [sp, #0x1b8]
420a4b10: str        r1, [r0, #0x10]
420a4b12: ldr        r1, [sp, #0x19c]
420a4b14: ldr        r0, [sp, #0x1b8]
420a4b16: str        r1, [r0, #0x14]
420a4b18: ldr        r1, [sp, #0x1a0]
420a4b1a: ldr        r0, [sp, #0x1b8]
420a4b1c: str        r1, [r0, #0x18]

BASEFETCH 420a4b14: ldr        r0, [sp, #0x1b8]
420a4b14: ldr        r0, [sp, #0x1b8]
420a4b16: str        r1, [r0, #0x14]
420a4b18: ldr        r1, [sp, #0x1a0]
420a4b1a: ldr        r0, [sp, #0x1b8]
420a4b1c: str        r1, [r0, #0x18]
420a4b1e: ldr        r1, [sp, #0x1a4]
420a4b20: ldr        r0, [sp, #0x1b8]
420a4b22: str        r1, [r0, #0x1c]

BASEFETCH 420a4b1a: ldr        r0, [sp, #0x1b8]
420a4b1a: ldr        r0, [sp, #0x1b8]
420a4b1c: str        r1, [r0, #0x18]
420a4b1e: ldr        r1, [sp, #0x1a4]
420a4b20: ldr        r0, [sp, #0x1b8]
420a4b22: str        r1, [r0, #0x1c]
420a4b24: ldr        r1, [sp, #0x1a8]
420a4b26: ldr        r0, [sp, #0x1b8]
420a4b28: str        r1, [r0, #0x20]

BASEFETCH 420a4b20: ldr        r0, [sp, #0x1b8]
420a4b20: ldr        r0, [sp, #0x1b8]
420a4b22: str        r1, [r0, #0x1c]
420a4b24: ldr        r1, [sp, #0x1a8]
420a4b26: ldr        r0, [sp, #0x1b8]
420a4b28: str        r1, [r0, #0x20]
420a4b2a: ldr        r1, [sp, #0x1ac]
420a4b2c: ldr        r0, [sp, #0x1b8]
420a4b2e: str        r1, [r0, #0x24]

BASEFETCH 420a4b26: ldr        r0, [sp, #0x1b8]
420a4b26: ldr        r0, [sp, #0x1b8]
420a4b28: str        r1, [r0, #0x20]
420a4b2a: ldr        r1, [sp, #0x1ac]
420a4b2c: ldr        r0, [sp, #0x1b8]
420a4b2e: str        r1, [r0, #0x24]
420a4b30: ldr        r1, [sp, #0x1b0]
420a4b32: ldr        r0, [sp, #0x1b8]
420a4b34: str        r1, [r0, #0x28]

BASEFETCH 420a4b2c: ldr        r0, [sp, #0x1b8]
420a4b2c: ldr        r0, [sp, #0x1b8]
420a4b2e: str        r1, [r0, #0x24]
420a4b30: ldr        r1, [sp, #0x1b0]
420a4b32: ldr        r0, [sp, #0x1b8]
420a4b34: str        r1, [r0, #0x28]
420a4b36: movs       r0, #1
420a4b38: ldr        r1, [sp, #0x154]
420a4b3a: lsls       r0, r1

BASEFETCH 420a4b32: ldr        r0, [sp, #0x1b8]
420a4b32: ldr        r0, [sp, #0x1b8]
420a4b34: str        r1, [r0, #0x28]
420a4b36: movs       r0, #1
420a4b38: ldr        r1, [sp, #0x154]
420a4b3a: lsls       r0, r1
420a4b3c: str        r0, [sp, #0x24]
420a4b3e: blx        #0x421e6614 ; CALL=0x421e6614
420a4b42: str        r1, [sp, #0x12c]

BASEFETCH 420a4b4e: ldr        r2, [sp, #0x1b8]
420a4b4e: ldr        r2, [sp, #0x1b8]
420a4b50: str        r1, [r2, #0x3c]
420a4b52: str        r0, [r2, #0x38]
420a4b54: ldr        r0, [sp, #0x130]
420a4b56: str        r0, [sp, #0x1c]
420a4b58: blx        #0x421e6614 ; CALL=0x421e6614
420a4b5c: str        r1, [sp, #0x24]
420a4b5e: str        r0, [sp, #0x20]

BASEFETCH 420a4b6a: ldr        r2, [sp, #0x1b8]
420a4b6a: ldr        r2, [sp, #0x1b8]
420a4b6c: str        r0, [r3, r2]
420a4b6e: adds       r2, #0x80
420a4b70: str        r1, [r2, #0x1c]
420a4b72: ldr        r0, [sp, #0x134]
420a4b74: str        r0, [sp, #0x1c]
420a4b76: blx        #0x421e6614 ; CALL=0x421e6614
420a4b7a: str        r1, [sp, #0x24]

BASEFETCH 420a4b86: ldr        r2, [sp, #0x1b8]
420a4b86: ldr        r2, [sp, #0x1b8]
420a4b88: adds       r2, #0x98
420a4b8a: str        r1, [r2, #0xc]
420a4b8c: str        r0, [r2, #8]
420a4b8e: ldr        r0, [sp, #0x138]
420a4b90: str        r0, [sp, #0x1c]
420a4b92: blx        #0x421e6614 ; CALL=0x421e6614
420a4b96: str        r1, [sp, #0x24]

BASEFETCH 420a4ba2: ldr        r2, [sp, #0x1b8]
420a4ba2: ldr        r2, [sp, #0x1b8]
420a4ba4: adds       r2, #0x98
420a4ba6: str        r1, [r2, #0x14]
420a4ba8: str        r0, [r2, #0x10]
420a4baa: ldr        r0, [sp, #0x13c]
420a4bac: str        r0, [sp, #0x1c]
420a4bae: blx        #0x421e6614 ; CALL=0x421e6614
420a4bb2: str        r1, [sp, #0x24]

BASEFETCH 420a4bbe: ldr        r2, [sp, #0x1b8]
420a4bbe: ldr        r2, [sp, #0x1b8]
420a4bc0: adds       r2, #0x98
420a4bc2: str        r1, [r2, #0x1c]
420a4bc4: str        r0, [r2, #0x18]
420a4bc6: ldr        r0, [sp, #0x140]
420a4bc8: str        r0, [sp, #0x1c]
420a4bca: blx        #0x421e6614 ; CALL=0x421e6614
420a4bce: str        r1, [sp, #0x24]

BASEFETCH 420a4bda: ldr        r2, [sp, #0x1b8]
420a4bda: ldr        r2, [sp, #0x1b8]
420a4bdc: adds       r2, #0x98
420a4bde: str        r1, [r2, #0x24]
420a4be0: str        r0, [r2, #0x20]
420a4be2: ldr        r0, [sp, #0x144]
420a4be4: str        r0, [sp, #0x1c]
420a4be6: blx        #0x421e6614 ; CALL=0x421e6614
420a4bea: str        r1, [sp, #0x24]

BASEFETCH 420a4bfa: ldr        r2, [sp, #0x1b8]
420a4bfa: ldr        r2, [sp, #0x1b8]
420a4bfc: adds       r2, #0x98
420a4bfe: str        r1, [r2, #0x2c]
420a4c00: str        r0, [r2, #0x28]
420a4c02: ldr        r0, [sp, #0x148]
420a4c04: str        r0, [sp, #0x1c]
420a4c06: blx        #0x421e6614 ; CALL=0x421e6614
420a4c0a: str        r1, [sp, #0x24]

BASEFETCH 420a4c16: ldr        r2, [sp, #0x1b8]
420a4c16: ldr        r2, [sp, #0x1b8]
420a4c18: adds       r2, #0x98
420a4c1a: str        r1, [r2, #0x34]
420a4c1c: str        r0, [r2, #0x30]
420a4c1e: ldr        r0, [sp, #0x14c]
420a4c20: str        r0, [sp, #0x1c]
420a4c22: blx        #0x421e6614 ; CALL=0x421e6614
420a4c26: str        r1, [sp, #0x24]

BASEFETCH 420a4c32: ldr        r2, [sp, #0x1b8]
420a4c32: ldr        r2, [sp, #0x1b8]
420a4c34: adds       r2, #0x98
420a4c36: str        r1, [r2, #0x3c]
420a4c38: str        r0, [r2, #0x38]
420a4c3a: ldr        r0, [sp, #0x150]
420a4c3c: str        r0, [sp, #0x1c]
420a4c3e: blx        #0x421e6614 ; CALL=0x421e6614
420a4c42: str        r1, [sp, #0x24]

BASEFETCH 420a4c4e: ldr        r2, [sp, #0x1b8]
420a4c4e: ldr        r2, [sp, #0x1b8]
420a4c50: adds       r2, #0x98
420a4c52: str        r1, [r2, #0x44]
420a4c54: str        r0, [r2, #0x40]
420a4c56: movs       r1, #1
420a4c58: ldr        r0, [sp, #0x154]
420a4c5a: lsls       r1, r0
420a4c5c: ldr        r0, [sp, #0x1b8]

BASEFETCH 420a4c5c: ldr        r0, [sp, #0x1b8]
420a4c5c: ldr        r0, [sp, #0x1b8]
420a4c5e: str        r1, [r0, #0x64]
420a4c60: ldr        r1, [sp, #0x130]
420a4c62: ldr        r0, [sp, #0x1b8]
420a4c64: str        r1, [r0, #0x40]
420a4c66: ldr        r1, [sp, #0x134]
420a4c68: ldr        r0, [sp, #0x1b8]
420a4c6a: str        r1, [r0, #0x44]

BASEFETCH 420a4c62: ldr        r0, [sp, #0x1b8]
420a4c62: ldr        r0, [sp, #0x1b8]
420a4c64: str        r1, [r0, #0x40]
420a4c66: ldr        r1, [sp, #0x134]
420a4c68: ldr        r0, [sp, #0x1b8]
420a4c6a: str        r1, [r0, #0x44]
420a4c6c: ldr        r1, [sp, #0x138]
420a4c6e: ldr        r0, [sp, #0x1b8]
420a4c70: str        r1, [r0, #0x48]

BASEFETCH 420a4c68: ldr        r0, [sp, #0x1b8]
420a4c68: ldr        r0, [sp, #0x1b8]
420a4c6a: str        r1, [r0, #0x44]
420a4c6c: ldr        r1, [sp, #0x138]
420a4c6e: ldr        r0, [sp, #0x1b8]
420a4c70: str        r1, [r0, #0x48]
420a4c72: ldr        r1, [sp, #0x13c]
420a4c74: ldr        r0, [sp, #0x1b8]
420a4c76: str        r1, [r0, #0x4c]

BASEFETCH 420a4c6e: ldr        r0, [sp, #0x1b8]
420a4c6e: ldr        r0, [sp, #0x1b8]
420a4c70: str        r1, [r0, #0x48]
420a4c72: ldr        r1, [sp, #0x13c]
420a4c74: ldr        r0, [sp, #0x1b8]
420a4c76: str        r1, [r0, #0x4c]
420a4c78: ldr        r1, [sp, #0x140]
420a4c7a: ldr        r0, [sp, #0x1b8]
420a4c7c: str        r1, [r0, #0x50]

BASEFETCH 420a4c74: ldr        r0, [sp, #0x1b8]
420a4c74: ldr        r0, [sp, #0x1b8]
420a4c76: str        r1, [r0, #0x4c]
420a4c78: ldr        r1, [sp, #0x140]
420a4c7a: ldr        r0, [sp, #0x1b8]
420a4c7c: str        r1, [r0, #0x50]
420a4c7e: ldr        r1, [sp, #0x144]
420a4c80: ldr        r0, [sp, #0x1b8]
420a4c82: str        r1, [r0, #0x54]

BASEFETCH 420a4c7a: ldr        r0, [sp, #0x1b8]
420a4c7a: ldr        r0, [sp, #0x1b8]
420a4c7c: str        r1, [r0, #0x50]
420a4c7e: ldr        r1, [sp, #0x144]
420a4c80: ldr        r0, [sp, #0x1b8]
420a4c82: str        r1, [r0, #0x54]
420a4c84: ldr        r1, [sp, #0x148]
420a4c86: ldr        r0, [sp, #0x1b8]
420a4c88: str        r1, [r0, #0x58]

BASEFETCH 420a4c80: ldr        r0, [sp, #0x1b8]
420a4c80: ldr        r0, [sp, #0x1b8]
